location,salary_min,salary_max,category,company
"Chennai, Tamil Nadu",,,IT Jobs,Kuehne+Nagel
"Chennai, Tamil Nadu",,,IT Jobs,BMW TechWorks India
"Chennai, Tamil Nadu",,,Accounting & Finance Jobs,Standard Chartered Bank
"Delhi, India",0.0,300000.0,IT Jobs,SveltetechTechnologies Pvt Ltd
"Delhi, India",1000000.0,1200000.0,IT Jobs,Qrata
"Delhi, India",800000.0,1300000.0,IT Jobs,Qrata
"Delhi, India",,,IT Jobs,Hubhopper
"Delhi, India",100000.0,600000.0,"Energy, Oil & Gas Jobs",Jobdost
"Delhi, India",0.0,1500000.0,"PR, Advertising & Marketing Jobs",Unnati
"Delhi, India",,,IT Jobs,Mantras2Success
"Delhi, India",,,IT Jobs,People First Consultants
"Delhi, India",1200000.0,1500000.0,IT Jobs,The Talent Keepers
"Delhi, India",420000.0,540000.0,IT Jobs,Vital
"Delhi, India",,,IT Jobs,Acura Solution
"Delhi, India",,,IT Jobs,Tide
